case_id,所有提交平均分,所有提交中位数,所有提交众数,最终分数平均分,最终分数中位数,最终分数众数,做的人数,做对人数
2541,73.44827586206897,100.0,100.0,95.87628865979381,100.0,100,97,92
2517,87.54716981132076,100.0,100.0,99.0909090909091,100.0,100,44,43
2604,68.68175824175825,100.0,100.0,100.0,100.0,100,46,46
2516,81.75438596491227,100.0,100.0,98.18181818181819,100.0,100,44,43
2603,53.64341085271318,80.0,100.0,98.75,100.0,100,48,45
2368,28.066037735849058,0.0,0.0,93.90243902439025,100.0,100,41,37
2365,69.0625,100.0,100.0,100.0,100.0,100,44,44
2385,65.9090909090909,100.0,100.0,100.0,100.0,100,43,43
2290,49.473684210526315,0.0,0.0,97.72727272727273,100.0,100,44,43
2210,48.87956730769231,66.67,66.67,100.0,100.0,100,37,37
2231,58.958333333333336,75.0,100.0,100.0,100.0,100,43,43
2472,63.37078651685393,100.0,100.0,100.0,100.0,100,43,43
2593,28.958333333333332,0.0,0.0,97.43589743589743,100.0,100,39,38
2546,70.0,100.0,100.0,100.0,100.0,100,44,44
2689,83.48214285714286,100.0,100.0,100.0,100.0,100,38,38
2688,60.810540540540536,100.0,100.0,100.0,100.0,100,41,41
2687,58.223684210526315,100.0,100.0,100.0,100.0,100,40,40
2686,43.84,20.0,0.0,100.0,100.0,100,38,38
2685,69.61538461538461,100.0,100.0,100.0,100.0,100,41,41
2684,57.37179487179487,100.0,100.0,94.87179487179488,100.0,100,39,37
2208,36.26114864864864,0.0,0.0,97.43589743589743,100.0,100,39,38
2287,63.30434782608695,60.0,60.0,99.0,100.0,100,40,39
2683,43.793103448275865,10.0,0.0,97.94871794871794,100.0,100,39,38
2682,51.15384615384615,75.0,0.0,99.39024390243902,100.0,100,41,40
2681,79.82456140350877,100.0,100.0,100.0,100.0,100,42,42
2680,73.79032258064517,100.0,100.0,100.0,100.0,100,39,39
2481,83.63636363636364,100.0,100.0,100.0,100.0,100,44,44
2480,57.333333333333336,100.0,100.0,100.0,100.0,100,43,43
2281,60.96577464788732,100.0,100.0,100.0,100.0,100,43,43
2679,70.07042253521126,100.0,100.0,100.0,100.0,100,41,41
2479,29.852941176470587,0.0,0.0,97.1590909090909,100.0,100,44,42
2677,82.6923076923077,100.0,100.0,100.0,100.0,100,41,41
2478,69.84615384615384,100.0,100.0,98.22222222222223,100.0,100,45,44
2676,54.73488636363636,100.0,100.0,100.0,100.0,100,42,42
2675,89.58333333333333,100.0,100.0,100.0,100.0,100,43,43
2477,58.333333333333336,75.0,100.0,100.0,100.0,100,41,41
