user_id,case_id,case_type,final_score,upload_id,code_url,upload_score,upload_time
48117,2084,图结构,100,317650,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%9D%9E%E8%B4%9F%E6%9D%83%E5%8D%95%E6%BA%90%E6%9C%80%E7%9F%AD%E8%B7%AF_1585650496425.zip,80.0,1585650497437
48117,2084,图结构,100,317651,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%9D%9E%E8%B4%9F%E6%9D%83%E5%8D%95%E6%BA%90%E6%9C%80%E7%9F%AD%E8%B7%AF_1585650514617.zip,90.0,1585650515642
48117,2084,图结构,100,317652,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E9%9D%9E%E8%B4%9F%E6%9D%83%E5%8D%95%E6%BA%90%E6%9C%80%E7%9F%AD%E8%B7%AF_1585650533935.zip,100.0,1585650534919
48117,2085,图结构,100,317656,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E6%A0%91%E5%BD%A2%E5%9B%BE_1585650593675.zip,0.0,1585650594683
48117,2085,图结构,100,317660,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E6%A0%91%E5%BD%A2%E5%9B%BE_1585650619408.zip,0.0,1585650620387
48117,2085,图结构,100,317662,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E6%A0%91%E5%BD%A2%E5%9B%BE_1585650634683.zip,0.0,1585650635752
48117,2085,图结构,100,317663,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E6%A0%91%E5%BD%A2%E5%9B%BE_1585650647795.zip,11.11,1585650649068
48117,2085,图结构,100,317667,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E6%A0%91%E5%BD%A2%E5%9B%BE_1585650682222.zip,22.22,1585650683265
48117,2085,图结构,100,317673,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E6%A0%91%E5%BD%A2%E5%9B%BE_1585650703759.zip,33.33,1585650704800
48117,2085,图结构,100,317677,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E6%A0%91%E5%BD%A2%E5%9B%BE_1585650729703.zip,44.44,1585650730712
48117,2085,图结构,100,317680,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E6%A0%91%E5%BD%A2%E5%9B%BE_1585650751086.zip,55.56,1585650752392
48117,2085,图结构,100,317684,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E6%A0%91%E5%BD%A2%E5%9B%BE_1585650773342.zip,66.67,1585650774358
48117,2085,图结构,100,317687,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E6%A0%91%E5%BD%A2%E5%9B%BE_1585650802529.zip,77.78,1585650803519
48117,2085,图结构,100,317691,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E6%A0%91%E5%BD%A2%E5%9B%BE_1585650827938.zip,88.89,1585650828943
48117,2085,图结构,100,317695,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E6%A0%91%E5%BD%A2%E5%9B%BE_1585650847728.zip,100.0,1585650848948
48117,2086,图结构,100,317702,http://mooctest-dev.oss-cn-shanghai.aliyuncs.com/data/answers/4247/48117/%E6%9C%80%E5%B0%8F%E7%94%9F%E6%88%90%E6%A0%91_1585650900719.zip,0.0,1585650901476
