user_id,all_score,rank(percent)
60675,9614.2247968668,39.06 %
60636,9549.705473064761,38.67 %
61046,9457.463982040576,38.28 %
60622,9455.275304052593,37.89 %
59018,9427.471231550524,37.50 %
60763,9401.386591688413,37.11 %
8246,9369.559298779077,36.72 %
60632,9321.716608999055,36.33 %
60668,9243.244182657925,35.94 %
60595,9238.454285935226,35.55 %
8317,9132.460110266054,35.16 %
58616,9116.758198301586,34.77 %
60839,9004.99899483766,34.38 %
60891,8911.173841312351,33.98 %
60716,8812.45368654822,33.59 %
47961,8794.774178854637,33.20 %
48721,8753.71338409885,32.81 %
48083,8641.412617496946,32.42 %
48025,8591.448359381428,32.03 %
60670,8466.113132322158,31.64 %
60760,8362.544681804788,31.25 %
60714,8307.097622693165,30.86 %
60825,8179.0329907870555,30.47 %
60669,8127.276799637639,30.08 %
60672,8022.719613086585,29.69 %
60640,7992.214466399,29.30 %
60785,7985.511709851455,28.91 %
48117,7922.663033258554,28.52 %
47920,7878.871628230025,28.12 %
60642,7717.042253242722,27.73 %
60618,7670.165125949427,27.34 %
58585,7575.938453837932,26.95 %
60810,7540.774548994225,26.56 %
60749,7490.549814906688,26.17 %
60648,7281.532768029112,25.78 %
47996,7278.194285714285,25.39 %
60616,7275.932960208851,25.00 %
50263,7137.123941010317,24.61 %
60627,7054.352347768815,24.22 %
60662,7014.701023867235,23.83 %
40186,6821.143896532357,23.44 %
60708,6769.372946682505,23.05 %
60654,6486.463045059869,22.66 %
60677,6460.515113021442,22.27 %
60605,6369.666498738712,21.88 %
61020,6315.795913794234,21.48 %
60707,6309.74942010084,21.09 %
61094,6252.6452372535705,20.70 %
60772,5881.022001977117,20.31 %
60666,5439.02643934151,19.92 %
60586,5408.141045606622,19.53 %
60837,5291.713170468566,19.14 %
60651,5137.8004998813685,18.75 %
49823,5071.9005300710105,18.36 %
60866,4954.3778991897025,17.97 %
60628,4482.34864415758,17.58 %
60901,4329.58600629702,17.19 %
60659,4053.161963029036,16.80 %
60623,3897.8900405648915,16.41 %
61212,3887.556843336156,16.02 %
60615,3601.7950495753576,15.62 %
60828,3449.5738722163414,15.23 %
60827,3267.6531880416846,14.84 %
39190,3140.571417110736,14.45 %
58744,2628.2026625697176,14.06 %
60630,2595.0913664689183,13.67 %
60700,2405.6230955011956,13.28 %
60613,2389.803271926121,12.89 %
60679,2302.459616940751,12.50 %
61106,2076.413353907847,12.11 %
48090,1988.329628900656,11.72 %
60782,1986.637821280285,11.33 %
61715,1935.1336180577166,10.94 %
60645,1776.3774786136391,10.55 %
61143,1604.958714310528,10.16 %
58865,1506.8990969855174,9.77 %
61097,1506.7584606940716,9.38 %
60584,1440.2988773546147,8.98 %
58834,1353.968126018941,8.59 %
39021,1154.8870541105796,8.20 %
60746,1014.1898379729529,7.81 %
60711,954.7202918013969,7.42 %
60836,941.5298412057521,7.03 %
60725,866.811213492834,6.64 %
60728,671.5963875200811,6.25 %
47879,449.3087536937738,5.86 %
34511,360.93142857142857,5.47 %
51584,299.6175998366646,5.08 %
60713,274.5428571428571,4.69 %
3544,146.83436234085252,4.30 %
49315,87.65142857142857,3.91 %
40552,84.84,3.52 %
60689,83.57142857142857,3.12 %
2843,39.88384131132067,2.73 %
60578,13.71428571428571,2.34 %
60822,13.71428571428571,2.34 %
60583,8.951999999999998,1.56 %
61035,0.0,1.17 %
61074,0.0,1.17 %
39201,0.0,1.17 %
