case_id,mean_data,median_data,mode_data,try_number,pass_number,average_upload_times,test_cases_number
2620,100.0,100.0,100.0,1,1,1.0,2
2621,100.0,100.0,100.0,1,1,1.0,5
2622,41.9992,50.0,0.0,1,1,25.0,6
2623,45.0,40.0,0.0|20.0|60.0|100.0,1,1,4.0,5
2624,20.0,0.0,0.0,1,1,5.0,5
2625,100.0,100.0,100.0,1,1,1.0,5
2626,100.0,100.0,100.0,1,1,1.0,5
2627,73.336,66.67,66.67,1,1,5.0,3
2628,100.0,100.0,100.0,1,1,1.0,3
2640,50.0,50.0,0.0|100.0,1,1,2.0,5
2660,80.0,80.0,60.0|80.0|100.0,1,1,3.0,5
2663,100.0,100.0,100.0,1,1,2.0,4
2666,65.0,75.0,25.0|100.0,1,1,5.0,4
2670,25.0,0.0,0.0,1,1,4.0,4
2672,50.0,50.0,0.0|100.0,1,1,2.0,5
2674,87.5,87.5,75.0|100.0,1,1,2.0,4
2678,100.0,100.0,100.0,1,1,1.0,4
2704,33.333333333333336,0.0,0.0,1,1,3.0,2
2705,100.0,100.0,100.0,1,1,1.0,2
2707,20.0,0.0,0.0,1,1,5.0,2
2709,25.0,0.0,0.0,1,1,4.0,2
2710,100.0,100.0,100.0,1,1,1.0,5
2711,100.0,100.0,100.0,1,1,1.0,1
2712,100.0,100.0,100.0,1,1,1.0,5
2713,88.88666666666667,83.33,83.33,1,1,3.0,6
2714,100.0,100.0,100.0,1,1,1.0,5
2716,63.0,80.0,80.0,1,1,40.0,5
2717,50.0,50.0,0.0|100.0,1,1,2.0,5
2718,50.0,50.0,0.0|100.0,1,1,2.0,3
2719,100.0,100.0,100.0,1,1,1.0,5
2726,100.0,100.0,100.0,1,1,1.0,1
2733,90.0,90.0,80.0|100.0,1,1,2.0,5
2734,100.0,100.0,100.0,1,1,1.0,6
2735,100.0,100.0,100.0,1,1,1.0,5
2736,100.0,100.0,100.0,1,1,1.0,5
2737,100.0,100.0,100.0,1,1,1.0,5
2738,9.090909090909092,0.0,0.0,1,1,11.0,5
2739,20.0,0.0,0.0,1,1,5.0,3
2740,50.0,50.0,0.0|100.0,1,1,2.0,5
2741,50.0,50.0,0.0|100.0,1,1,2.0,5
2742,100.0,100.0,100.0,1,1,1.0,5
2743,100.0,100.0,100.0,1,1,1.0,5
2745,100.0,100.0,100.0,1,1,1.0,4
2746,100.0,100.0,100.0,1,1,1.0,2
2748,33.33416666666667,16.665,0.0,1,1,12.0,3
2750,100.0,100.0,100.0,1,1,1.0,2
2751,50.0,50.0,0.0|100.0,1,1,2.0,5
2752,50.0,50.0,0.0|100.0,1,1,2.0,3
2753,100.0,100.0,100.0,1,1,1.0,2
2754,14.285714285714286,0.0,0.0,1,1,7.0,4
2756,33.333333333333336,0.0,0.0,1,1,3.0,5
2762,90.0,90.0,80.0|100.0,1,1,2.0,5
2763,50.0,50.0,0.0|100.0,1,1,2.0,4
2764,100.0,100.0,100.0,1,1,1.0,4
2765,100.0,100.0,100.0,1,1,1.0,4
2766,100.0,100.0,100.0,1,1,1.0,4
2767,100.0,100.0,100.0,1,1,1.0,5
2768,100.0,100.0,100.0,1,1,1.0,5
2769,100.0,100.0,100.0,1,1,1.0,2
2771,50.0,50.0,0.0|100.0,1,1,2.0,4
2772,30.0,10.0,0.0,1,1,4.0,5
2773,100.0,100.0,100.0,1,1,1.0,2
2775,60.0,40.0,40.0,1,1,3.0,5
2776,33.333333333333336,0.0,0.0,1,1,3.0,5
2777,20.0,0.0,0.0,1,1,5.0,5
2778,100.0,100.0,100.0,1,1,1.0,4
2779,100.0,100.0,100.0,1,1,1.0,4
2781,72.0,80.0,80.0,1,1,5.0,5
2841,100.0,100.0,100.0,1,1,1.0,5
2869,25.0,0.0,0.0,1,1,4.0,5
2880,13.846153846153847,0.0,0.0,1,1,13.0,5
2881,33.333333333333336,0.0,0.0,1,1,3.0,10
2882,100.0,100.0,100.0,1,1,1.0,10
2888,100.0,100.0,100.0,1,1,1.0,5
2893,50.0,50.0,0.0|100.0,1,1,2.0,4
2895,100.0,100.0,100.0,1,1,1.0,2
2897,33.333333333333336,0.0,0.0,1,1,3.0,3
2899,100.0,100.0,100.0,1,1,1.0,5
2901,100.0,100.0,100.0,1,1,1.0,4
2902,66.66666666666667,100.0,100.0,1,1,3.0,5
2903,100.0,100.0,100.0,1,1,1.0,3
2905,100.0,100.0,100.0,1,1,1.0,5
2913,80.0,80.0,60.0|100.0,1,1,2.0,10
2927,100.0,100.0,100.0,1,1,1.0,5
2948,100.0,100.0,100.0,1,1,1.0,5
2966,100.0,100.0,100.0,1,1,1.0,2
2971,60.0,80.0,80.0,1,1,7.0,5
2976,15.625,0.0,0.0,1,1,8.0,4
2977,100.0,100.0,100.0,1,1,1.0,4
2986,23.333333333333332,0.0,0.0,1,1,6.0,5
2987,33.333333333333336,0.0,0.0,1,1,3.0,5
2988,50.0,50.0,0.0|100.0,1,1,2.0,5
2989,50.0,50.0,0.0|100.0,1,1,2.0,5
2990,100.0,100.0,100.0,1,1,1.0,5
2991,50.0,50.0,0.0|100.0,1,1,2.0,5
